seed,edge_delta,brier_delta,map_delta,true_mass_delta
65111,1.231879,0.015253,0,-0.122340
65112,0.628324,0.006988,0,-0.089124
65113,0.592883,0.005854,0,-0.105771
65114,1.281169,0.029092,0,-0.025851
65115,1.009860,0.013615,0,-0.307969
65116,0.828289,0.015819,0,-0.026375
65117,0.573546,0.009555,0,-0.127223
65118,1.451741,0.024040,0,-0.261914
65119,1.529559,0.019587,0,-0.183141
65120,0.652493,0.016876,0,-0.007928
65121,0.014585,-0.017815,1,0.006175
65122,-0.290488,-0.013324,0,-0.010642
summary_mean_edge_delta,0.7919865932782785
summary_mean_brier_delta,0.010461619030139402
summary_wins,1
summary_losses,11
summary_harm_gt_0_50,10
summary_net_map_delta,1
summary_mean_compute_ratio,1.0425212440862797
passes_screen,false
