seed,0.25_edge_delta,0.25_brier_delta,0.25_map_delta,0.25_true_mass_delta,0.5_edge_delta,0.5_brier_delta,0.5_map_delta,0.5_true_mass_delta,0.75_edge_delta,0.75_brier_delta,0.75_map_delta,0.75_true_mass_delta,1.0_edge_delta,1.0_brier_delta,1.0_map_delta,1.0_true_mass_delta
64001,0.29742839524349884,0.003595289278185307,0,-0.0538277897015193,0.3898945168831778,0.009271342167966101,0,-0.05174072206473995,0.056540807876277466,0.0016042667150319252,0,0.02120202915391578,0.06217798895331117,0.005156421455547052,0,0.011212896087005486
64002,0.2655882319364977,0.016351950669363735,0,-0.003942195169872072,-1.5297707508777822,-0.04727421475101524,0,0.04598862099224696,-0.1284627902122626,0.0087791748161066,0,-0.003993124928506847,0.6243430403430823,0.056473046083973966,0,0.0012401045297244012
64003,-0.37346387587022667,-0.004157186776819493,0,0.05801993916738657,-0.47207142797866597,-0.0054515060079105195,0,0.09943112014404581,-0.557371197732376,-0.006474756493809162,0,0.13911352641429914,-0.7465358631707656,-0.008600978690196775,0,0.24235996736349258
64004,-0.5076400578454815,-0.007951941448472874,0,0.16863565539738506,-0.7841654922719987,-0.009636356534672147,0,0.26811526714282813,-0.8552452803520328,-0.010129475644386259,0,0.311812379173343,-0.9699643661708652,-0.010682869232048739,0,0.36959327289661453
64005,0.07136190904769513,0.0003902262880565426,0,-0.015098408070716551,0.3863054673794093,0.006724690884712827,0,-0.04345351431777067,-0.2139482716076081,-0.0016529865073528823,0,0.10296706781223514,-0.3083718207417815,-0.002352137874868694,0,0.14492755332273216
64006,-0.8304523376454258,0.01080837237714026,0,-0.05389266797395254,-0.924542251520557,0.007671015120848897,0,-0.025623377745988163,-0.8955075053837447,-0.00017469043515765809,0,0.0035471181725745676,-0.2723488606576563,-0.0033932923272604193,1,0.04983420017857884
64007,-1.1382558564322287,-0.03574215995564029,0,0.03903594515704063,-0.996691789090093,-0.0265033555499054,0,0.023697948879049767,-1.5009550010010944,-0.051351643887835495,1,0.16874836920864197,-0.7831753440979008,-0.0033571662762924143,0,0.01567913883000952
64008,-0.3401121889121961,-0.0013821867527446232,0,0.0551482056945235,-0.7789164976636431,-0.0046277554498779395,0,0.19505416366813266,-0.7990501360634237,-0.005040124058852845,0,0.23009018366642747,-0.5966881564104751,-0.0036218619681022816,0,0.18205288314860524
64009,-0.26842711529085705,-0.0018560313103678575,0,0.010345067738006308,-0.1747008629538782,0.005786229423276057,0,-0.03888271382507605,-0.3986972950165397,-0.0005836321144340045,0,0.004067935264071329,-0.4513125889895464,0.00026739853884989034,0,-0.0013357275973013977
64010,-0.4073868801229814,-0.009417860208657335,1,0.029639242441286403,-0.599967107488411,-0.004726811264987356,0,0.03765440188674342,0.10368373740287362,0.026900647941190542,0,-0.013928600919492964,-0.6141758617300042,0.006095970350812517,0,0.00882650978173492
64011,0.32838296672377076,0.03174367989694152,0,-0.006437520882064719,-1.179393256744592,-0.051766651860062796,1,0.15856054302387054,0.15639513506551284,-0.003773327796994394,0,0.00957169259127204,-0.584360182159732,0.004109972551493354,0,0.01582901060245421
64012,0.3188637686489222,0.02213063301065102,0,-0.044543745368741644,-0.23939593182154262,-0.0030094783658908067,0,-0.004215633599294735,-0.16341860437435551,-0.010090308435830572,1,0.037598640594044094,-0.814793805696016,-0.030474812305115492,1,0.19455736065009976
64013,-0.4070530917805528,-0.004302712771709388,0,0.07609769740063804,-0.4040678281032333,-0.002345561876474422,0,0.06799195734251676,-0.45529979019353317,-0.0031631396628931125,0,0.08381906098623951,-0.36309330908102133,-0.002832368042425768,0,0.06721683845979448
64014,0.20120520060357583,0.007817284843851892,0,-0.044173198719480083,-0.48821276326558705,-0.006097459318771865,0,0.1292473420225077,-0.6072477101780782,-0.007102677863818045,0,0.18047177319757396,-0.7135461180250724,-0.007896033833705062,0,0.23059984978542658
64015,0.23890086029061153,0.0011920357578469104,0,-0.034292381842025266,-0.4036118012175808,-0.003814353423967363,0,0.16804220246876145,-0.07831997190371953,-0.0010993064584926531,0,0.058297495166593105,-0.4326122182883291,-0.003449993340674961,0,0.2016197923002413
64016,-0.36677087169112577,-0.010566420622218818,0,0.011968880669911792,-0.4759150758670345,-0.007199282872918336,0,0.012900716878369705,-0.36768365832591776,-0.005450549354135047,0,0.0035839778835684583,-0.6266834177071074,-0.010689392561336365,0,0.010109604040942107
64017,-0.148804489622111,-0.0017553928619691763,0,0.06044008796105271,-0.31066369049988996,-0.002730262263248822,0,0.11900468202794662,-0.12685402452260552,-0.0011023196220669301,0,0.05762206622029831,-0.26462003482264196,-0.0011076820024610726,0,0.1054222054062448
64018,0.006765667737844039,0.009289141980138818,0,-0.0481406790065309,0.3961280583707345,0.009588630997869024,0,-0.062250607011926216,-0.17296240833409682,0.004673140911947989,0,-0.014549223802320543,0.011509405752462065,0.010588081144534384,0,-0.060704851923313416
