seed,edge_delta,brier_delta,map_delta,true_mass_delta
65801,0.013983,0.003599,0,-0.052025
65802,-1.488158,-0.057520,1,0.518123
65803,-0.326837,-0.001428,0,0.060835
65804,0.595150,0.027912,-1,-0.198047
65805,-0.107652,-0.002505,0,-0.047208
65806,-0.257289,-0.002601,0,0.083563
65807,-0.175557,-0.006543,0,0.045613
65808,0.252331,0.014323,0,-0.098295
65809,-0.083187,-0.000576,0,0.074771
65810,0.443430,0.011863,0,-0.259773
65811,-1.096663,-0.023952,1,0.543666
65812,-0.181652,-0.001034,0,0.069236
65813,-0.287323,-0.002729,0,0.118344
65814,-0.130062,-0.000532,0,0.052331
65815,-0.187269,-0.000963,0,0.074083
65816,-0.997560,-0.024102,0,0.001909
65817,-0.316623,-0.011682,0,0.058408
65818,0.085239,0.025213,-1,-0.101759
65819,-0.144458,-0.000624,0,0.064986
65820,0.094137,0.002937,0,-0.059683
65821,-0.048652,0.000182,0,0.064151
65822,1.714676,0.045926,0,-0.033959
65823,-0.467939,-0.002467,0,0.205491
65824,-0.206028,-0.001725,0,0.092519
summary_mean_edge_delta,-0.1376651069764883
summary_bootstrap95_low,-0.3668911133264692
summary_bootstrap95_high,0.10237499067386303
summary_mean_brier_delta,-0.0003762699950603813
summary_wins,17
summary_losses,7
summary_harm_gt_0_50,2
summary_net_map_delta,0
summary_mean_compute_ratio,1.0823646970196148
passes_confirmation,false
