seed,edge_delta,brier_delta,map_delta,true_mass_delta
64901,0.733109,-0.002276,0,0.001397
64902,1.061385,0.015675,0,-0.267095
64903,1.060659,0.003597,0,-0.001131
64904,-0.133096,-0.042006,0,0.003672
64905,1.110319,0.010712,0,-0.130255
64906,1.209582,0.018454,0,-0.109023
64907,2.051120,0.037381,-1,-0.063286
64908,1.835261,0.032066,-1,-0.118605
64909,1.116822,0.030949,0,-0.049407
64910,2.312624,0.079380,-1,-0.107285
64911,1.341465,0.019688,0,-0.218268
64912,1.482882,0.023067,0,-0.149829
summary_mean_edge_delta,1.265177663754415
summary_mean_brier_delta,0.018890570657114705
summary_wins,1
summary_losses,11
summary_harm_gt_0_50,11
summary_net_map_delta,-3
passes_screen,false
