seed,edge_delta,brier_delta,map_delta,true_mass_delta
65701,-0.502419,-0.004546,0,0.313126
65702,-0.032256,-0.000142,0,0.013568
65703,-0.606459,-0.008102,0,0.342265
65704,0.428267,0.010900,0,-0.113818
65705,0.020995,0.002491,0,-0.043427
65706,-0.050973,-0.000447,0,0.024473
65707,-0.771828,-0.027115,1,0.357904
65708,-0.780028,-0.012869,0,0.295754
65709,-0.340328,-0.002633,0,0.152410
65710,1.017510,0.046864,0,-0.157370
65711,0.300938,0.008655,0,-0.201715
65712,-0.818281,-0.011622,0,0.244693
summary_mean_edge_delta,-0.17790523688821205
summary_mean_brier_delta,0.00011959548601376032
summary_wins,8
summary_losses,4
summary_harm_gt_0_50,1
summary_net_map_delta,1
summary_mean_compute_ratio,0.90470426498722
passes_screen,true
