seed,edge_delta,brier_delta,map_delta,true_mass_delta
65311,0.743221,0.012807,-1,-0.104694
65312,1.275719,0.023347,-1,-0.150870
65313,1.070537,0.018216,0,-0.134999
65314,1.731641,0.034512,0,-0.190732
65315,0.179805,-0.003911,0,0.000127
65316,0.189205,0.000934,0,-0.022912
65317,0.723670,0.006198,0,-0.013275
65318,0.400854,0.001079,1,-0.033665
65319,0.385292,0.002610,0,-0.019208
65320,0.805982,0.009156,0,-0.070642
65321,1.851084,0.043451,-1,-0.142357
65322,0.496500,0.000736,0,-0.011620
summary_mean_edge_delta,0.8211258612182194
summary_mean_brier_delta,0.0124278781229699
summary_wins,0
summary_losses,12
summary_harm_gt_0_50,7
summary_net_map_delta,-2
summary_mean_compute_ratio,1.0403054133873886
passes_screen,false
