seed,edge_delta,brier_delta,map_delta,true_mass_delta
66101,-1.476900,-0.032202,1,0.386422
66102,-0.349238,-0.001390,0,0.098253
66103,1.398314,0.067292,-1,-0.140206
66104,-0.923678,-0.028250,0,0.034283
66105,-2.153016,-0.065294,0,0.097157
66106,-0.943228,-0.036744,0,0.037429
66107,1.011919,0.040874,0,-0.002571
66108,-1.638197,-0.048192,1,0.342915
66109,-0.441887,-0.010967,1,0.085878
66110,-1.146277,-0.046915,0,0.046066
66111,-0.421518,-0.024018,1,0.162068
66112,-2.486222,-0.102859,1,0.149983
summary_mean_edge_delta,-0.7974939641951816
summary_mean_brier_delta,-0.02405541726377841
summary_wins,10
summary_losses,2
summary_harm_gt_0_50,2
summary_net_map_delta,4
summary_mean_compute_ratio,0.9895759224228846
passes_screen,true
