seed,edge_delta,brier_delta,map_delta,true_mass_delta
64601,0.999665,0.021558,0,-0.068360
64602,0.057361,0.015934,-1,-0.052210
64603,-0.025342,0.003998,-1,0.002044
64604,-0.145309,-0.015037,0,0.021677
64605,-0.419351,-0.017576,1,0.152207
64606,0.442311,0.004759,1,-0.025242
64607,-0.131459,-0.006773,0,0.083357
64608,0.969000,0.052566,0,-0.057811
64609,0.097076,0.002208,0,-0.043516
64610,1.112860,0.036480,0,-0.034035
64611,0.831459,-0.006676,0,-0.001206
64612,-1.015955,-0.022949,1,0.102328
64613,-1.413469,-0.055346,1,0.144542
64614,-1.215037,-0.054242,1,0.188798
64615,-0.386746,-0.006455,0,0.148869
64616,0.266730,0.035765,-1,-0.096536
64617,-0.009251,0.005278,0,0.033841
64618,0.139838,0.005469,0,0.011751
64619,0.314642,0.002984,0,-0.058671
64620,-1.227584,-0.036213,1,0.310952
64621,0.654658,0.009531,0,-0.188031
64622,-0.387403,-0.002771,0,0.186164
64623,-0.293406,0.001842,-1,0.012061
64624,0.160155,0.003147,0,-0.027302
summary_mean_edge_delta,-0.0260231595069778
summary_bootstrap95_low,-0.30277818475367607
summary_bootstrap95_high,0.2477096942982383
summary_mean_brier_delta,-0.0009382698734453736
summary_wins,12
summary_losses,12
summary_harm_gt_0_50,5
summary_net_map_delta,2
passes_confirmation,false
