seed,edge_delta,brier_delta,map_delta,true_mass_delta
64501,-1.310264,-0.052494,1,0.285660
64502,1.506420,0.049685,-1,-0.208706
64503,0.122490,0.001068,0,0.011207
64504,-0.835541,-0.009520,0,0.276016
64505,-0.495737,-0.003241,0,0.186249
64506,-0.551603,-0.001527,0,0.038146
64507,-0.665273,-0.003886,-1,0.059295
64508,-0.161773,-0.001281,0,0.091125
64509,-0.285116,0.001377,0,-0.008641
64510,-0.479626,-0.003989,0,0.223244
64511,-1.393195,-0.069738,1,0.179393
64512,0.264628,0.028038,-1,-0.149523
summary_mean_edge_delta,-0.3570491098666264
summary_mean_brier_delta,-0.005458962212294568
summary_wins,9
summary_losses,3
summary_harm_gt_0_50,1
summary_net_map_delta,-1
passes_screen,true
