seed,edge_delta,brier_delta,map_delta,true_mass_delta
65501,-1.100781,-0.015242,0,0.229439
65502,-1.213294,-0.025982,1,0.274772
65503,-1.895968,-0.053401,1,0.281275
65504,-2.724981,-0.049128,1,0.440932
65505,-0.488653,-0.008183,0,0.161278
65506,-1.385282,-0.040421,1,0.157071
65507,-1.598015,-0.044024,1,0.212118
65508,-0.402383,-0.004238,0,0.148820
65509,-0.416472,-0.003482,0,0.135965
65510,-0.543625,-0.006650,0,0.056979
65511,0.447887,0.013787,-1,-0.227448
65512,1.517699,0.076368,-1,-0.172961
summary_mean_edge_delta,-0.8169889723607223
summary_mean_brier_delta,-0.013383120156627558
summary_wins,10
summary_losses,2
summary_harm_gt_0_50,1
summary_net_map_delta,3
summary_mean_compute_ratio,0.9309849455149113
passes_screen,true
