seed,edge_delta,brier_delta,map_delta,true_mass_delta
65601,-0.952326,-0.026192,1,0.207769
65602,-0.765110,-0.012312,0,0.308872
65603,-2.303628,-0.087318,1,0.472734
65604,0.046002,-0.002199,0,-0.019150
65605,-1.436758,-0.041890,1,0.355389
65606,-0.065644,0.000104,0,0.024523
65607,0.124569,0.016596,-1,-0.043371
65608,-1.125448,-0.039025,1,0.322688
65609,-1.203824,-0.040230,1,0.572224
65610,-0.269024,-0.003378,0,0.072529
65611,0.354060,0.011508,0,-0.082665
65612,-1.175553,-0.017821,0,0.073833
65613,-0.603565,-0.004085,0,0.058001
65614,0.187832,0.025267,-1,-0.093935
65615,-0.182200,-0.001738,0,0.104425
65616,-2.201369,-0.078841,1,0.296477
65617,-0.489501,-0.007631,1,0.109316
65618,-0.831875,-0.006832,0,0.264929
65619,-1.230899,-0.042870,1,0.313372
65620,-2.536747,-0.100182,1,0.384253
65621,-0.093115,-0.000431,0,0.052536
65622,-0.585462,-0.007338,0,0.107418
65623,0.198922,0.012681,-1,-0.085533
65624,-1.142075,-0.043816,1,0.331137
summary_mean_edge_delta,-0.7617807383188171
summary_bootstrap95_low,-1.0910635693121828
summary_bootstrap95_high,-0.4526965831914302
summary_mean_brier_delta,-0.020748837848464555
summary_wins,19
summary_losses,5
summary_harm_gt_0_50,0
summary_net_map_delta,7
summary_mean_compute_ratio,0.9602747462582716
passes_confirmation,true
